Word,Count
analyze,1
levels,1
oceanographer,1
nicholas,1
flemming,1
spotted,1
sunken,1
returned,1
students,1
location,1
map,1
identified,1
network,1
streets,1
tombs,1
exciting,1
initial,1
finds,1
lie,1
return,1
chrysanthi,1
gallon,1
jon,1
henderson,1
excavation,1
greek,1
ministry,1
culture,1
archaeology,1
huge,1
robotics,1
sonar,1
mapping,1
stateoftheart,1
graphics,1
covering,1
half,1
acres,1
main,1
roads,1
rectangular,1
open,1
excavations,1
revealed,1
minoanstyle,1
loom,1
weights,1
thriving,1
textile,1
industry,1
relevant,1
alien,1
accidentally,1
frequently,1
temporarily,1
disguised,1
relocated,1
legends,1
programs,1
via,1
rivers,1
seasons,1
winds,1
elevated,1
separated,1
comprised,1
restoring,1
updating,1
supplying,1
until,1
belongings,1
select,1
unchallenged,1
unknown,1
suspended,1
transferred,1
canceled,1
policies,1
theories,1
documents,1
ordered,1
provided,1
adjusted,1
effect,1
reality,1
crossed,1
blocked,1
altered,1
expecting,1
predicting,1
recalling,1
diverse,1
marginal,1
dependent,1
four,1
texts,1
choosing,1
grammar,1
school,1
boy,1
stratforduponavon,1
landed,1
scholarly,1
punch,1
groundbreaking,1
benefit,1
development,1
worn,1
broadened,1
complexity,1
difference,1
jacqui,1
royal,1
company,1
commissioned,1
randomised,1
trial,1
involved,1
hundreds,1
aged,1
nine,1
tenat,1
state,1
schools,1
previously,1
exposed,1
pedagogy,1
split,1
asked,1
message,1
bottle,1
fordinand,1
shipwreck,1
tempest,1
minute,1
dramabased,1
accompany,1
peerreviewed,1
drew,1
classed,1
rarer,1
wrote,1
role,1
being,1
shipwrecked,1
express,1
retied,1
cliche's,1
palm,1
trees,1
expansive,1
giving,1
broader,1
sky,1
atmospheric,1
conditions,1
hanlon,1
surprised,1
resilient,1
hopeful,1
added,1
probably,1
related,1
trying,1
describing,1
states,1
yourself,1
importance,1
embedding,1
arts,1
replicated,1
dramatist,1
needed,1
suggested,1
shakespeare's,1
gave,1
expansion,1
lives,1
combined,1
whole,1
bodies,1
rewrite,1
lines,1
watch,1
performances,1
artist,1
divided,1
whether,1
instruction,1
enhances,1
